Month,Mean_Temprature
1967-07-31 00:00:00,27.36
1967-08-31 00:00:00,26.7
1967-09-30 00:00:00,26.35
1967-10-31 00:00:00,24.22
1967-11-30 00:00:00,21.4
1967-12-31 00:00:00,19.41
1968-01-31 00:00:00,17.52
1968-02-29 00:00:00,18.98
1968-03-31 00:00:00,23.18
1968-04-30 00:00:00,25.89
1968-05-31 00:00:00,27.77
1968-06-30 00:00:00,28.24
1968-07-31 00:00:00,27.12
1968-08-31 00:00:00,26.9
1968-09-30 00:00:00,26.61
1968-10-31 00:00:00,24.32
1968-11-30 00:00:00,21.56
1968-12-31 00:00:00,19.2
1969-01-31 00:00:00,18.07
1969-02-28 00:00:00,20.3
1969-03-31 00:00:00,24.52
